name,address,latitude,longitude,altitude
茅ヶ崎市立茅ヶ崎小学校,茅ヶ崎市共恵1-10-23,35.32851228,139.4032852,0
茅ヶ崎市立鶴嶺小学校,茅ヶ崎市浜之郷477,35.3377686,139.3895946,0
茅ヶ崎市立松林小学校,茅ヶ崎市菱沼1-1-1,35.344581,139.427803,0
茅ヶ崎市立西浜小学校,茅ヶ崎市南湖六丁目5-8,35.3187323,139.3947685,0
茅ヶ崎市立小出小学校,茅ヶ崎市芹沢944,35.3715114,139.4240553,0
茅ヶ崎市立松浪小学校,茅ヶ崎市松浪一丁目1-61,35.3309771,139.4325811,0
茅ヶ崎市立梅田小学校,茅ヶ崎市茅ヶ崎一丁目6-1,35.3330885,139.401026,0
茅ヶ崎市立香川小学校,茅ヶ崎市香川一丁目33-1,35.3534878,139.4069439,0
茅ヶ崎市立浜須賀小学校,茅ヶ崎市白浜町3-1,35.3229708,139.4240225,0
茅ヶ崎市立鶴が台小学校,茅ヶ崎市鶴が台12-1,35.3478645,139.4053708,0
茅ヶ崎市立柳島小学校,茅ヶ崎市柳島1594,35.3239744,139.3781551,0
茅ヶ崎市立小和田小学校,茅ヶ崎市小和田三丁目10-1,35.3438196,139.4389054,0
茅ヶ崎市立円蔵小学校,茅ヶ崎市円蔵一丁目13-1,35.3423693,139.4076646,0
茅ヶ崎市立今宿小学校,茅ヶ崎市今宿192,35.3365577,139.385564,0
茅ヶ崎市立室田小学校,茅ヶ崎市室田一丁目1-1,35.3460476,139.420528,0
茅ヶ崎市立東海岸小学校,茅ヶ崎市東海岸南四丁目10-1,35.3198513,139.4137826,0
茅ヶ崎市立浜之郷小学校,茅ヶ崎市浜之郷90,35.344785,139.3896312,0
茅ヶ崎市立緑が浜小学校,茅ヶ崎市緑が浜1-1,35.3232057,139.4324833,0
茅ヶ崎市立汐見台小学校,茅ヶ崎市汐見台3-11,35.3212525,139.4371588,0
茅ヶ崎市立第一中学校,茅ヶ崎市東海岸南四丁目10-1,35.3198438,139.414757,0
茅ヶ崎市立鶴嶺中学校,茅ヶ崎市浜之郷500,35.3409031,139.3903833,0
茅ヶ崎市立松林中学校,茅ヶ崎市室田三丁目1-1,35.3403983,139.4206075,0
茅ヶ崎市立西浜中学校,茅ヶ崎市南湖六丁目15-3,35.3187625,139.3908267,0
茅ヶ崎市立松浪中学校,茅ヶ崎市松浪二丁目6-47,35.3291836,139.436147,0
茅ヶ崎市立梅田中学校,茅ヶ崎市十間坂三丁目6-25,35.3329919,139.3987747,0
茅ヶ崎市立鶴が台中学校,茅ヶ崎市鶴が台2-7,35.3484039,139.411003,0
茅ヶ崎市立浜須賀中学校,茅ヶ崎市松が丘二丁目8-54,35.3262908,139.4246973,0
茅ヶ崎市立北陽中学校,茅ヶ崎市下寺尾1660,35.3659875,139.4093032,0
茅ヶ崎市立中島中学校,茅ヶ崎市中島1469-2,35.3251167,139.3751442,0
茅ヶ崎市立円蔵中学校,茅ヶ崎市円蔵一丁目15-1,35.3435194,139.4088298,0
茅ヶ崎市立赤羽根中学校,茅ヶ崎市赤羽根3030,35.3493485,139.4372918,0
茅ヶ崎市立萩園中学校,茅ヶ崎市萩園2425,35.3413162,139.3815026,0
